genres,release_year,item_id,title,playtime_forever
Action,1997.0,282010.0,Carmageddon Max Pack,155.31666666666666
Action,1998.0,70.0,Half-Life,44714.2
Strategy,2006.0,1640.0,Disciples II: Gallean's Return,456.6166666666667
Strategy,2006.0,1630.0,Disciples II: Rise of the Elves,351.85
Action,2006.0,2400.0,The Ship: Murder Party,17469.266666666666
Action,2005.0,3800.0,Advent Rising,228.18333333333334
Indie,2006.0,1520.0,DEFCON,3690.633333333333
Action,2006.0,2420.0,The Ship: Single Player,3234.133333333333
Indie,2006.0,4000.0,Garry's Mod,7472776.933333334
Racing,2006.0,4230.0,RACE - The WTCC Game,1349.1833333333334
Casual,2006.0,4900.0,Zen of Sudoku,2.5666666666666664
Casual,2006.0,2520.0,Gumboy - Crazy Adventures™,22.316666666666666
Strategy,2003.0,6200.0,Ghost Master®,720.9166666666666
Strategy,2006.0,6210.0,Vegas: Make It Big™,137.1
Adventure,2006.0,6300.0,Dreamfall: The Longest Journey,354.93333333333334
Racing,2006.0,2990.0,FlatOut 2™,4498.016666666666
Racing,2005.0,6220.0,FlatOut,709.6166666666667
Action,2007.0,6510.0,Lost Planet™: Extreme Condition,727.5833333333334
Strategy,2006.0,3980.0,CivCity: Rome,204.76666666666668
RPG,2002.0,1700.0,Arx Fatalis,320.9
Action,2000.0,6310.0,The Longest Journey,875.4666666666667
Strategy,2006.0,3990.0,Civilization IV®: Warlords,2322.4333333333334
Strategy,2003.0,7610.0,Railroad Tycoon 3,256.6166666666667
Strategy,2006.0,7600.0,Sid Meier's Railroads!,3607.983333333333
Strategy,1998.0,7620.0,Railroad Tycoon II Platinum,13.716666666666667
Casual,2007.0,2540.0,RIP - Trilogy™,106.05
Strategy,1995.0,7650.0,X-COM: Terror From the Deep,830.6500000000001
Action,2007.0,8000.0,Tomb Raider: Anniversary,1712.4166666666667
Action,2006.0,6550.0,Devil May Cry® 3 Special Edition,1124.6666666666667
Action,2006.0,8200.0,Sam &amp; Max 101: Culture Shock,819.1833333333334
Action,1996.0,2290.0,Final DOOM,260.76666666666665
Indie,2007.0,2570.0,Vigil: Blood Bitterness™,13.516666666666667
Action,2006.0,8210.0,Sam &amp; Max 102: Situation: Comedy,521.4666666666667
Action,1995.0,2280.0,Ultimate Doom,1302.55
Action,1995.0,9160.0,Master Levels for Doom II,134.66666666666666
Action,1994.0,2300.0,DOOM II,1112.7
Action,1994.0,2270.0,Wolfenstein 3D,543.9333333333333
Action,2001.0,9010.0,Return to Castle Wolfenstein,1718.4333333333334
Action,1997.0,9040.0,QUAKE Mission Pack 1: Scourge of Armagon,157.48333333333332
Action,1993.0,9000.0,Spear of Destiny,55.483333333333334
Action,2003.0,3810.0,BloodRayne,276.8833333333333
Action,2007.0,9030.0,QUAKE Mission Pack 2: Dissolution of Eternity,149.93333333333334
Action,2007.0,2310.0,QUAKE,1556.45
Strategy,2007.0,3230.0,Genesis Rising,71.53333333333333
Strategy,2006.0,9310.0,"Warhammer® 40,000: Dawn of War® – Winter Assault",4929.183333333333
Action,2007.0,7670.0,BioShock™,45173.316666666666
Strategy,2006.0,4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12406.7
Strategy,2006.0,4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade",31356.1
Strategy,2004.0,4760.0,Rome: Total War™ - Collection,50329.066666666666
Strategy,2006.0,4770.0,Rome: Total War™ - Alexander,1500.9666666666667
Casual,2007.0,50970.0,Mystery Case Files: Madame Fate®,0.5166666666666667
Action,1998.0,12170.0,Grand Theft Auto,249.83333333333334
Action,1999.0,12180.0,Grand Theft Auto 2,142.0
Action,2004.0,12130.0,Manhunt,135.01666666666665
Racing,2003.0,12160.0,Midnight Club 2,510.5833333333333
Action,2003.0,12150.0,Max Payne 2: The Fall of Max Payne,3328.05
